Sales_Rep,Business,Age,Female,Years,College,Personality,Certficates,Feedback,Salary,NPS
3447,Hardware,25,1,1,No,Diplomat,3,2.55,49000,6
3448,Hardware,40,1,6,Yes,Diplomat,1,1.24,62000,5
3453,Hardware,50,0,8,No,Diplomat,3,4,94000,10
3456,Hardware,53,0,1,Yes,Explorer,1,1.42,67000,5
3458,Hardware,51,1,1,Yes,Explorer,0,4,78800,8
3461,Hardware,52,0,1,No,Analyst,4,3.2,86000,7
3462,Hardware,46,0,1,Yes,Explorer,5,2.53,110000,9
3464,Hardware,56,1,2,Yes,Diplomat,2,1.64,65800,7
3468,Hardware,29,0,1,Yes,Diplomat,2,3.87,65000,7
3469,Hardware,62,1,1,Yes,Sentinel,2,3.65,74600,6
3470,Hardware,44,0,2,Yes,Diplomat,4,2.41,70000,8
3471,Hardware,64,1,2,Yes,Diplomat,4,1.59,65200,8
3473,Hardware,48,0,1,Yes,Sentinel,2,1.23,74000,5
3482,Hardware,61,0,6,Yes,Explorer,1,1.39,76000,8
3484,Hardware,42,0,2,Yes,Explorer,1,3.42,77000,8
3486,Hardware,36,1,1,No,Sentinel,2,1.72,58800,3
3490,Hardware,25,1,2,No,Diplomat,3,2.65,46000,9
3491,Hardware,33,0,1,Yes,Diplomat,2,3.71,59000,4
3493,Hardware,31,0,2,Yes,Analyst,5,2.34,54000,4
3497,Hardware,58,0,1,Yes,Explorer,5,1.71,105000,6
3504,Hardware,56,1,2,Yes,Diplomat,0,2.92,65800,8
3507,Hardware,53,1,2,Yes,Analyst,3,2.22,68400,5
3508,Hardware,57,1,4,Yes,Diplomat,6,2.64,96600,8
3511,Hardware,31,1,1,Yes,Explorer,2,2.74,63800,5
3513,Hardware,35,1,2,Yes,Explorer,2,2.61,75000,5
3516,Hardware,60,1,1,No,Explorer,1,2.01,57000,5
3517,Hardware,26,1,1,Yes,Explorer,2,3.65,67800,4
3518,Hardware,41,0,2,Yes,Analyst,3,3.21,89000,3
3519,Hardware,36,1,1,No,Diplomat,4,1.79,70800,6
3520,Hardware,54,0,2,No,Diplomat,0,1.71,55000,3
3522,Hardware,38,0,1,Yes,Explorer,1,2.96,73000,5
3523,Hardware,27,1,2,No,Analyst,3,3.02,54600,4
3526,Hardware,53,0,11,Yes,Explorer,2,1.7,74000,8
3527,Hardware,37,0,2,Yes,Diplomat,2,3.33,116000,7
3529,Hardware,49,1,4,Yes,Diplomat,1,4,86200,9
3530,Hardware,45,0,2,Yes,Sentinel,6,3.06,77000,7
3531,Hardware,55,0,2,No,Diplomat,0,4,73000,8
3534,Hardware,32,0,1,Yes,Analyst,4,4,88000,6
3537,Hardware,61,0,9,Yes,Sentinel,5,3.11,109000,9
3539,Hardware,50,0,2,Yes,Diplomat,1,3.16,67000,9
3541,Hardware,26,0,1,Yes,Explorer,2,1.81,54000,7
3543,Hardware,46,1,2,Yes,Diplomat,4,4,92800,10
3546,Hardware,24,0,7,Yes,Explorer,3,2.17,61000,9
3547,Hardware,32,1,7,Yes,Sentinel,1,2.72,48600,6
3548,Hardware,54,0,2,No,Sentinel,4,2.02,56000,6
3549,Hardware,60,0,2,No,Explorer,1,2.85,47000,4
3550,Hardware,36,0,1,No,Explorer,2,1.12,48000,6
3551,Hardware,52,1,2,Yes,Diplomat,4,3,101600,7
3553,Hardware,48,0,2,Yes,Diplomat,5,1.86,118000,9
3554,Hardware,31,0,2,Yes,Explorer,4,2.56,93000,6
3555,Hardware,51,0,2,Yes,Analyst,0,3.04,61000,3
3557,Hardware,53,0,1,No,Explorer,2,1.3,61000,4
3562,Hardware,37,1,13,Yes,Diplomat,6,1.45,90600,7
3563,Hardware,39,0,2,Yes,Explorer,1,1.12,72000,4
3566,Hardware,51,1,1,Yes,Analyst,2,2.03,54800,4
3568,Hardware,26,0,2,Yes,Explorer,1,1.25,38000,3
3570,Hardware,57,0,2,Yes,Diplomat,0,1.9,85000,8
3576,Hardware,49,0,6,Yes,Explorer,4,1.65,93000,6
3578,Hardware,40,0,2,Yes,Explorer,3,3.04,86000,7
3581,Hardware,53,1,2,Yes,Diplomat,1,2.3,59400,4
3582,Hardware,35,0,1,Yes,Diplomat,4,2.73,77000,6
3584,Hardware,27,1,2,Yes,Diplomat,5,1.82,77600,6
3587,Hardware,49,0,2,Yes,Diplomat,2,2.02,72000,6
3590,Hardware,50,0,1,Yes,Diplomat,3,3.69,114000,8
3592,Hardware,63,0,1,No,Diplomat,3,1.9,58000,6
3593,Hardware,33,0,2,Yes,Explorer,0,1.83,61000,3
3594,Hardware,54,0,1,Yes,Explorer,3,3.85,96000,6
3595,Hardware,57,0,2,Yes,Diplomat,4,2.96,113000,7
3596,Hardware,25,1,2,No,Diplomat,1,2.48,41000,4
3597,Hardware,52,0,2,Yes,Diplomat,4,3.17,114000,7
3599,Hardware,25,1,2,Yes,Explorer,4,1.54,64000,6
3601,Hardware,29,1,1,Yes,Sentinel,1,2.22,50200,3
3602,Hardware,52,1,4,No,Explorer,4,3.35,79600,7
3603,Hardware,46,1,6,Yes,Explorer,0,3.94,63800,9
3612,Hardware,35,1,1,No,Explorer,5,1.17,61000,7
3613,Hardware,33,1,4,Yes,Explorer,4,2.27,56400,8
3614,Hardware,33,1,2,No,Sentinel,3,2.62,62400,5
3615,Hardware,29,1,1,Yes,Diplomat,3,2.3,63200,6
3617,Hardware,53,1,1,Yes,Analyst,1,3.37,48400,3
3620,Hardware,43,0,3,Yes,Sentinel,3,3.01,69000,5
3621,Hardware,53,1,2,Yes,Explorer,0,3.45,73400,5
3624,Hardware,32,0,11,No,Diplomat,3,4,95000,9
3626,Hardware,25,0,1,Yes,Explorer,1,1.63,42000,8
3627,Hardware,51,0,9,No,Explorer,6,3.22,138000,10
3628,Hardware,49,0,1,Yes,Explorer,2,2.71,111000,7
3629,Hardware,39,0,1,Yes,Diplomat,5,1.25,70000,8
3631,Hardware,29,0,1,Yes,Diplomat,2,1.46,54000,6
3637,Hardware,50,1,6,Yes,Diplomat,3,2.16,117000,7
3638,Hardware,54,0,2,Yes,Sentinel,3,1.98,74000,4
3641,Hardware,51,1,7,Yes,Explorer,2,3.17,75800,6
3643,Hardware,41,1,1,No,Explorer,5,2.53,64800,7
3644,Hardware,27,0,2,Yes,Analyst,1,3.05,49000,5
3648,Hardware,32,0,7,No,Sentinel,3,3.3,49000,4
3650,Hardware,46,0,2,No,Explorer,1,3.34,66000,6
3651,Hardware,55,0,2,Yes,Explorer,5,2.5,135000,9
3656,Hardware,31,0,2,Yes,Analyst,4,1.22,67000,3
3659,Hardware,36,0,1,Yes,Diplomat,1,2.22,85000,4
3660,Hardware,32,1,2,Yes,Diplomat,1,1.31,67600,3
3663,Hardware,51,1,1,No,Diplomat,0,4,51800,7
3666,Hardware,25,0,6,Yes,Analyst,0,3.26,28000,4
3667,Hardware,25,1,2,Yes,Analyst,2,1.17,38000,4
3668,Hardware,36,0,2,No,Sentinel,1,3.38,58000,3
3669,Hardware,59,0,2,Yes,Explorer,1,3.59,75000,6
3670,Hardware,44,0,1,Yes,Sentinel,3,2.59,58000,3
3671,Hardware,28,0,1,Yes,Diplomat,2,2.85,78000,7
3675,Hardware,26,0,1,Yes,Diplomat,2,2.36,52000,7
3676,Hardware,62,0,2,Yes,Explorer,2,4,94000,8
3677,Hardware,53,0,6,Yes,Analyst,1,3.78,75000,4
3679,Hardware,35,0,6,Yes,Diplomat,3,4,78000,9
3680,Hardware,60,0,6,Yes,Analyst,2,2.57,64000,4
3685,Hardware,52,0,7,Yes,Diplomat,1,1.27,64000,5
3688,Hardware,44,0,2,Yes,Analyst,4,2.21,93000,4
3690,Hardware,25,0,8,Yes,Diplomat,1,2.87,49000,3
3691,Hardware,43,0,1,Yes,Diplomat,4,2.29,96000,7
3692,Hardware,50,1,1,No,Explorer,3,2.52,66000,3
3694,Hardware,54,0,1,Yes,Diplomat,5,2.7,144000,10
3695,Hardware,24,0,2,No,Diplomat,1,3.42,36000,7
3696,Hardware,49,1,1,Yes,Explorer,0,2.83,40200,2
3697,Hardware,65,0,2,Yes,Analyst,5,3.82,74000,7
3699,Hardware,34,0,2,Yes,Explorer,6,2.49,110000,10
3700,Hardware,45,0,2,Yes,Explorer,1,2.08,74000,5
3703,Hardware,63,0,2,Yes,Explorer,2,1.18,65000,6
3707,Hardware,53,1,1,Yes,Explorer,5,3.15,101400,8
3710,Hardware,51,0,5,Yes,Explorer,5,1.54,116000,9
3711,Hardware,31,0,1,Yes,Diplomat,0,1.18,49000,4
3713,Hardware,45,0,2,Yes,Analyst,3,4,108000,8
3715,Hardware,34,0,7,Yes,Explorer,0,2.43,51000,6
3717,Hardware,46,0,1,Yes,Diplomat,1,3.02,81000,7
3719,Hardware,31,0,1,Yes,Sentinel,4,2.93,68000,6
3725,Hardware,27,0,3,Yes,Diplomat,2,2.75,60000,4
3728,Hardware,50,1,2,Yes,Diplomat,0,1.85,50000,3
3731,Hardware,64,1,1,No,Diplomat,2,1.79,49200,6
3733,Hardware,44,0,2,Yes,Explorer,1,1.58,88000,6
3737,Hardware,51,1,2,Yes,Analyst,4,3.77,75800,7
3738,Hardware,55,0,1,Yes,Diplomat,1,3.69,80000,7
3739,Hardware,32,1,1,Yes,Sentinel,3,3.51,69600,8
3743,Hardware,27,0,2,Yes,Sentinel,1,2.07,39000,3
3745,Hardware,59,0,1,No,Explorer,1,3.51,89000,5
3746,Hardware,31,0,2,Yes,Diplomat,4,3.07,98000,8
3747,Hardware,30,1,2,Yes,Explorer,2,1.11,53000,8
3748,Hardware,56,1,1,Yes,Explorer,0,3.54,68800,8
3751,Hardware,27,1,10,No,Explorer,1,4,65600,8
3754,Hardware,50,0,1,No,Diplomat,1,1.41,56000,4
3756,Hardware,64,1,1,Yes,Diplomat,2,1.85,48200,6
3757,Hardware,51,0,4,Yes,Explorer,4,2.52,122000,7
3759,Hardware,64,0,1,Yes,Analyst,2,2.19,56000,3
3760,Hardware,39,1,2,Yes,Explorer,0,3.98,90200,8
3761,Hardware,45,0,12,No,Explorer,6,1.36,98000,8
3762,Hardware,40,1,1,No,Explorer,1,3.77,64000,5
3763,Hardware,55,1,6,Yes,Explorer,2,4,97000,9
3765,Hardware,55,1,1,Yes,Diplomat,4,1.36,72000,6
3767,Hardware,63,1,2,No,Sentinel,2,3.76,60400,6
3769,Hardware,44,1,10,Yes,Sentinel,4,2.43,77200,6
3770,Hardware,62,0,1,Yes,Diplomat,4,1.8,104000,10
3773,Hardware,26,0,9,Yes,Diplomat,6,2.93,97000,9
3774,Hardware,50,1,2,Yes,Explorer,0,1.16,54000,4
3778,Hardware,47,1,2,No,Sentinel,3,3.1,60600,4
3779,Hardware,49,0,1,Yes,Diplomat,2,2.23,79000,5
3782,Hardware,38,0,2,Yes,Explorer,2,2.69,73000,4
3783,Hardware,29,1,7,Yes,Diplomat,3,4,85200,10
3787,Hardware,40,0,2,Yes,Diplomat,1,2.37,62000,4
3790,Hardware,27,1,1,No,Diplomat,3,4,60600,9
3791,Hardware,59,0,1,No,Diplomat,5,2.17,83000,5
3792,Hardware,48,1,1,No,Explorer,2,1.11,57400,5
3800,Hardware,54,0,1,Yes,Diplomat,2,3.33,97000,5
3801,Hardware,47,0,1,Yes,Diplomat,2,2.54,56000,5
3802,Hardware,41,0,2,Yes,Diplomat,0,3.21,54000,3
3803,Hardware,59,0,1,No,Explorer,2,2.68,59000,6
3804,Hardware,37,0,11,No,Diplomat,1,2.49,49000,5
3808,Hardware,53,0,2,Yes,Diplomat,2,2.68,80000,5
3809,Hardware,62,0,1,Yes,Sentinel,4,4,100000,7
3811,Hardware,27,0,8,Yes,Analyst,2,2.79,34000,4
3812,Hardware,49,0,1,Yes,Explorer,5,3.35,171000,9
3814,Hardware,62,0,8,Yes,Diplomat,1,2.81,63000,8
3816,Hardware,32,0,1,Yes,Diplomat,2,1.52,53000,6
3817,Hardware,34,1,1,Yes,Explorer,3,1.21,50200,4
3819,Hardware,49,0,1,Yes,Sentinel,6,2.03,117000,5
3824,Hardware,44,0,1,No,Diplomat,1,1.93,59000,4
3826,Hardware,25,1,1,Yes,Diplomat,4,3.41,63000,9
3827,Hardware,31,0,8,No,Sentinel,5,1.54,40000,4
3831,Hardware,29,0,1,No,Sentinel,1,2.13,37000,4
3838,Hardware,53,0,1,No,Explorer,0,3.31,71000,6
3839,Hardware,54,0,2,No,Explorer,3,2.41,76000,3
3840,Hardware,32,0,2,Yes,Sentinel,2,3.84,42000,2
3841,Hardware,64,0,1,Yes,Sentinel,2,3.71,67000,6
3845,Hardware,64,0,2,Yes,Explorer,3,1.71,67000,5
3848,Hardware,29,0,5,Yes,Sentinel,4,3.68,65000,6
3850,Hardware,62,1,2,No,Explorer,3,1.89,70600,8
3851,Hardware,36,0,2,Yes,Explorer,1,1.31,64000,5
3852,Hardware,60,0,7,Yes,Diplomat,1,4,85000,8
3853,Hardware,51,0,1,Yes,Diplomat,3,2.86,103000,8
3856,Hardware,37,1,1,No,Diplomat,2,2.65,70600,7
3857,Hardware,63,0,2,No,Sentinel,1,2.02,45000,4
3859,Hardware,53,0,4,Yes,Diplomat,4,4,118000,10
3861,Hardware,64,0,2,No,Sentinel,4,1.74,55000,7
3864,Hardware,48,0,2,Yes,Explorer,2,3.62,127000,8
3867,Hardware,32,0,2,No,Explorer,1,2.46,40000,7
3870,Hardware,43,0,5,Yes,Explorer,3,3.06,111000,8
3873,Hardware,48,1,7,Yes,Explorer,1,1.64,67400,7
3874,Hardware,56,0,2,Yes,Explorer,0,1.12,54000,3
3875,Hardware,29,1,2,No,Analyst,3,2.5,61200,6
3876,Hardware,48,0,1,Yes,Sentinel,4,2.49,101000,4
3879,Hardware,25,1,8,Yes,Analyst,0,3.69,58000,8
3880,Hardware,50,0,6,Yes,Analyst,3,2.56,97000,6
3881,Hardware,40,1,1,Yes,Diplomat,3,4,126000,8
3882,Hardware,30,0,2,No,Diplomat,2,3.87,81000,6
3887,Hardware,57,1,2,Yes,Explorer,1,1.53,59600,7
3889,Hardware,33,0,1,Yes,Diplomat,5,4,139000,8
3892,Hardware,40,0,9,Yes,Explorer,5,2.31,99000,9
3896,Hardware,30,0,2,Yes,Diplomat,3,2.02,85000,6
3899,Hardware,56,1,1,Yes,Sentinel,2,3.59,73800,5
3901,Hardware,29,0,2,Yes,Diplomat,2,2.23,48000,4
3902,Hardware,56,0,9,No,Diplomat,2,3.2,77000,8
3903,Hardware,49,1,2,No,Explorer,1,3.91,67200,7
3906,Hardware,27,0,1,Yes,Sentinel,0,3.16,44000,3
3908,Hardware,31,0,2,Yes,Sentinel,4,2.51,59000,5
3909,Hardware,45,1,2,Yes,Explorer,2,4,92000,7
3911,Hardware,37,0,2,Yes,Explorer,1,4,94000,5
3912,Hardware,51,0,1,Yes,Sentinel,0,4,74000,3
3913,Hardware,42,1,3,Yes,Sentinel,1,1.9,44600,4
3914,Hardware,25,0,5,Yes,Explorer,6,4,105000,9
3915,Hardware,39,1,2,Yes,Explorer,1,1.72,74200,5
3918,Hardware,48,0,1,Yes,Sentinel,1,2.88,73000,4
3921,Hardware,61,0,8,Yes,Explorer,1,3.38,63000,5
3923,Hardware,25,0,2,No,Explorer,0,4,54000,5
3924,Hardware,45,0,6,Yes,Diplomat,1,1.74,89000,8
3926,Hardware,29,1,5,No,Diplomat,4,2.03,61200,5
3927,Hardware,45,0,1,No,Sentinel,2,3.22,37000,5
3928,Hardware,46,0,1,No,Sentinel,6,2.84,60000,5
3929,Hardware,61,1,2,Yes,Explorer,1,1.24,39800,4
3931,Hardware,56,1,1,Yes,Diplomat,2,2.34,66800,4
3937,Hardware,49,0,1,No,Diplomat,3,2.95,58000,5
3938,Hardware,49,0,2,Yes,Diplomat,1,2.46,79000,5
3940,Hardware,45,0,2,No,Diplomat,4,2.27,74000,7
3943,Hardware,56,0,4,Yes,Diplomat,0,1.96,55000,5
3945,Hardware,44,1,5,Yes,Sentinel,1,1.96,52200,3
3946,Hardware,53,0,2,Yes,Explorer,0,2.58,76000,4
3947,Hardware,47,0,2,Yes,Explorer,1,1.46,64000,4
3949,Hardware,34,1,11,Yes,Analyst,3,2.26,68200,6
3950,Hardware,32,0,2,No,Explorer,2,3.1,71000,7
3951,Hardware,25,0,2,Yes,Explorer,0,2.13,38000,2
3952,Hardware,27,1,6,Yes,Diplomat,0,1.12,46600,5
3955,Hardware,58,1,2,No,Sentinel,3,3.02,49400,4
3958,Hardware,63,1,4,Yes,Explorer,4,1.35,70400,6
3959,Hardware,32,1,2,Yes,Diplomat,5,3.71,104600,10
3964,Hardware,53,1,1,Yes,Explorer,1,2.81,78400,10
3965,Hardware,28,0,1,Yes,Explorer,3,2.28,66000,7
3966,Hardware,53,0,1,Yes,Explorer,2,2.47,71000,4
3967,Hardware,58,0,1,Yes,Diplomat,2,3.42,83000,7
3969,Hardware,39,1,5,Yes,Sentinel,4,3.37,74200,7
3970,Hardware,39,1,2,Yes,Sentinel,0,1.47,45200,3
3972,Hardware,58,0,2,Yes,Explorer,3,2.7,117000,10
3975,Hardware,54,0,7,No,Analyst,2,4,78000,7
3982,Hardware,36,1,2,Yes,Diplomat,2,2.06,60800,6
3983,Hardware,40,0,2,Yes,Diplomat,3,3.13,93000,4
3987,Hardware,35,0,2,Yes,Explorer,6,2.52,87000,7
3988,Hardware,40,1,1,No,Diplomat,3,1.41,60000,4
3990,Hardware,60,1,2,Yes,Explorer,1,1.73,60000,5
3991,Hardware,25,0,8,Yes,Diplomat,2,3.59,50000,6
3993,Hardware,41,0,1,Yes,Explorer,1,1.94,72000,4
3994,Hardware,55,0,2,Yes,Analyst,2,2.33,64000,2
3996,Hardware,41,0,1,Yes,Diplomat,0,3.04,85000,5
3998,Hardware,57,0,2,No,Diplomat,2,4,84000,8
3999,Hardware,28,0,10,Yes,Analyst,2,3.92,71000,6
4000,Hardware,62,1,1,Yes,Explorer,0,2.95,38600,3
4006,Hardware,27,1,1,Yes,Sentinel,2,2.73,50600,3
4009,Hardware,59,0,1,No,Sentinel,5,3.76,104000,8
4010,Hardware,57,1,1,Yes,Explorer,4,2.94,126600,9
4011,Hardware,37,0,2,Yes,Explorer,3,3.55,130000,9
4015,Hardware,63,0,3,Yes,Diplomat,3,1.61,93000,9
4016,Hardware,41,0,1,No,Analyst,1,2.31,71000,4
4018,Hardware,49,1,1,Yes,Explorer,1,1.38,73200,6
4019,Hardware,32,1,2,Yes,Explorer,0,4,75600,3
4023,Hardware,39,0,1,Yes,Diplomat,5,3.08,107000,10
4028,Hardware,59,1,6,No,Diplomat,2,3.21,63200,8
4030,Hardware,47,0,8,Yes,Explorer,5,1.9,104000,9
4031,Hardware,27,1,1,No,Sentinel,3,3.64,52600,7
4032,Hardware,57,0,2,Yes,Diplomat,3,1.28,86000,6
4034,Hardware,42,0,4,Yes,Analyst,6,4,180000,10
4035,Hardware,32,0,2,Yes,Analyst,2,2.54,41000,4
4036,Hardware,45,1,2,No,Explorer,2,1.97,41000,5
4037,Hardware,29,1,2,Yes,Explorer,2,3.81,77200,7
4039,Hardware,36,1,1,Yes,Diplomat,5,2.45,64800,9
4041,Hardware,28,0,1,No,Explorer,3,1.69,71000,5
4042,Hardware,51,1,1,No,Sentinel,1,3.95,57800,4
4043,Hardware,48,1,2,No,Explorer,0,1.37,39400,2
4046,Hardware,53,0,2,Yes,Sentinel,2,2.16,70000,4
4047,Hardware,65,1,1,Yes,Explorer,2,2.43,69000,7
4049,Hardware,33,0,2,Yes,Explorer,1,2.58,64000,8
4050,Hardware,26,0,7,Yes,Explorer,2,3.12,73000,10
4053,Hardware,58,1,3,No,Sentinel,1,4,55400,3
4058,Hardware,49,0,1,Yes,Explorer,2,4,98000,9
4061,Hardware,37,0,6,Yes,Explorer,4,4,125000,9
4062,Hardware,36,0,1,No,Sentinel,1,2.2,40000,2
4066,Hardware,25,0,2,Yes,Diplomat,3,2.67,66000,10
4068,Hardware,38,1,1,Yes,Sentinel,5,1.24,67400,5
4069,Hardware,43,0,1,Yes,Sentinel,4,3.28,83000,6
4074,Hardware,40,1,2,Yes,Diplomat,0,1.91,58000,4
4077,Hardware,52,1,2,Yes,Diplomat,4,2.32,91600,8
4078,Hardware,34,1,2,Yes,Diplomat,4,2.76,70200,8
4080,Hardware,37,0,2,Yes,Diplomat,2,3.1,83000,6
4086,Hardware,55,0,2,Yes,Sentinel,5,3.47,123000,4
4088,Hardware,39,0,1,Yes,Analyst,1,2.23,62000,6
4090,Hardware,37,1,1,Yes,Analyst,1,2.4,53600,3
4096,Hardware,43,0,5,Yes,Sentinel,5,2.96,72000,8
4098,Hardware,26,1,1,Yes,Explorer,5,3.31,92800,7
4103,Hardware,41,1,10,No,Explorer,0,3.64,90800,7
4107,Hardware,60,0,1,Yes,Explorer,5,3.84,129000,9
4108,Hardware,28,1,2,No,Diplomat,2,2.64,58400,6
4111,Hardware,48,0,2,Yes,Explorer,0,2.43,57000,5
4116,Hardware,51,0,2,Yes,Explorer,5,4,168000,9
4117,Hardware,26,1,2,No,Diplomat,2,2.92,54800,8
4118,Hardware,27,1,1,Yes,Diplomat,2,2.16,71600,5
4121,Hardware,30,0,10,No,Sentinel,1,2.5,42000,5
4122,Hardware,58,1,1,Yes,Sentinel,1,4,68400,5
4123,Hardware,49,0,12,Yes,Explorer,2,2.44,82000,9
4124,Hardware,50,0,5,No,Sentinel,3,2.62,47000,5
4130,Hardware,57,0,2,No,Diplomat,4,1.49,69000,8
4133,Hardware,62,0,1,Yes,Diplomat,3,2.43,81000,7
4134,Hardware,42,1,2,Yes,Diplomat,1,2.6,71600,6
4137,Hardware,59,0,1,Yes,Explorer,3,1.28,89000,5
4138,Hardware,46,1,2,Yes,Explorer,1,2.72,83800,8
4146,Hardware,59,1,1,Yes,Diplomat,1,2.09,63200,5
4147,Hardware,32,0,2,Yes,Diplomat,3,4,110000,8
4152,Hardware,42,0,2,No,Diplomat,4,1.81,91000,6
4154,Hardware,42,1,1,Yes,Diplomat,0,3.4,59600,5
4156,Hardware,39,0,2,Yes,Explorer,1,3.02,74000,9
4157,Hardware,51,1,2,Yes,Explorer,3,4,78800,10
4158,Hardware,58,1,1,Yes,Diplomat,6,3.09,82400,9
4161,Hardware,32,0,1,Yes,Sentinel,3,3.17,58000,4
4162,Hardware,64,0,2,Yes,Diplomat,2,2.23,80000,5
4163,Hardware,64,0,2,Yes,Diplomat,2,2.25,56000,6
4165,Hardware,35,0,2,Yes,Analyst,3,1.32,51000,4
4167,Hardware,40,0,7,Yes,Diplomat,3,3.74,108000,10
4169,Hardware,28,0,1,Yes,Diplomat,5,1.29,59000,7
4171,Hardware,33,1,2,Yes,Explorer,1,2.62,64400,4
4173,Hardware,28,0,2,Yes,Explorer,4,3.71,93000,9
4175,Hardware,42,0,1,Yes,Analyst,1,3.02,66000,3
4176,Hardware,59,0,2,Yes,Explorer,3,1.55,84000,10
4179,Hardware,40,0,1,Yes,Sentinel,3,3.64,91000,5
4183,Hardware,54,1,2,Yes,Sentinel,5,2.24,79200,6
4185,Hardware,26,0,6,Yes,Explorer,2,1.81,54000,10
4186,Hardware,52,1,2,Yes,Explorer,3,3.82,116600,9
4188,Hardware,41,1,2,Yes,Explorer,2,1.99,63800,10
4192,Hardware,55,0,2,Yes,Explorer,1,2.87,75000,6
4194,Hardware,63,0,12,Yes,Analyst,2,1.18,49000,6
4195,Hardware,33,0,2,No,Diplomat,2,1.5,47000,5
4197,Hardware,57,0,2,Yes,Diplomat,1,2.36,72000,5
4198,Hardware,30,0,2,No,Diplomat,5,2.63,104000,8
4200,Hardware,26,1,1,Yes,Diplomat,3,3.27,70800,5
4202,Hardware,53,0,2,No,Sentinel,2,1.9,46000,4
4203,Hardware,54,1,2,Yes,Explorer,1,2.89,63200,7
4205,Hardware,30,1,1,Yes,Sentinel,2,1.72,46000,3
4207,Hardware,44,0,2,Yes,Diplomat,2,1.61,76000,5
4212,Hardware,34,0,1,Yes,Sentinel,4,1.56,55000,5
4214,Hardware,50,0,1,Yes,Diplomat,5,2.62,107000,7
4215,Hardware,58,1,1,Yes,Analyst,2,2.79,48400,2
4217,Hardware,33,1,1,Yes,Diplomat,3,1.52,68400,6
4218,Hardware,32,0,1,No,Diplomat,1,1.69,52000,4
4219,Hardware,50,1,2,No,Diplomat,2,2,58000,7
4220,Hardware,60,0,2,No,Diplomat,4,2.97,72000,10
4222,Hardware,26,0,2,Yes,Diplomat,4,2.39,67000,7
4225,Hardware,50,0,2,Yes,Sentinel,0,2.73,51000,6
4226,Hardware,43,1,2,Yes,Explorer,3,3.98,100400,8
4235,Hardware,31,0,2,Yes,Diplomat,1,2.69,62000,4
4236,Hardware,63,1,2,No,Diplomat,2,1.14,49400,4
4237,Hardware,29,0,2,Yes,Analyst,3,2.78,47000,4
4238,Hardware,52,0,2,Yes,Sentinel,1,1.81,68000,4
4239,Hardware,50,0,2,Yes,Diplomat,1,3.79,127000,8
4240,Hardware,35,0,10,No,Sentinel,5,2.75,71000,6
4244,Hardware,62,0,11,Yes,Explorer,3,1.73,96000,9
4246,Hardware,35,0,2,No,Diplomat,1,1.11,47000,2
4247,Hardware,26,0,1,Yes,Diplomat,1,2.81,59000,6
4248,Hardware,51,0,7,Yes,Analyst,1,1.61,77000,4
4249,Hardware,54,0,11,No,Explorer,0,1.97,57000,7
4252,Hardware,46,1,1,No,Diplomat,2,2.61,76800,7
4254,Hardware,34,1,1,Yes,Diplomat,0,3.95,64200,6
4255,Hardware,57,0,2,Yes,Analyst,2,2.29,58000,4
4264,Hardware,33,1,1,Yes,Explorer,2,2.75,78400,10
4265,Hardware,38,0,2,Yes,Explorer,1,2.2,72000,4
4266,Hardware,63,0,1,No,Diplomat,1,1.55,57000,3
4270,Hardware,64,0,1,Yes,Diplomat,2,3.54,60000,5
4271,Hardware,37,1,2,Yes,Diplomat,5,2.14,73600,10
4273,Hardware,55,1,2,Yes,Explorer,2,4,96000,10
4274,Hardware,61,0,3,Yes,Diplomat,1,2.77,73000,4
4277,Hardware,40,0,4,No,Explorer,3,2.5,89000,7
4279,Hardware,41,1,2,Yes,Explorer,3,3.42,85800,7
4280,Hardware,40,0,1,Yes,Explorer,2,1.88,65000,5
4283,Hardware,54,1,7,Yes,Diplomat,1,2.37,63200,7
4286,Hardware,32,0,8,Yes,Diplomat,2,2.41,85000,9
4288,Hardware,55,0,7,Yes,Diplomat,1,3.77,121000,9
4289,Hardware,48,1,2,Yes,Diplomat,1,4,108400,9
4295,Hardware,52,1,3,No,Diplomat,1,3.08,53600,4
4297,Hardware,24,1,7,Yes,Explorer,5,1.44,61200,10
4300,Hardware,36,0,2,Yes,Diplomat,3,3.19,85000,7
4301,Hardware,48,0,2,Yes,Explorer,6,2.27,103000,6
4302,Hardware,59,1,9,Yes,Diplomat,0,2.31,53200,6
4303,Hardware,37,0,6,No,Diplomat,5,3.08,96000,10
4304,Hardware,36,0,1,No,Explorer,5,2.25,71000,7
4309,Hardware,57,0,1,Yes,Explorer,2,3.52,90000,6
4312,Hardware,50,0,2,Yes,Diplomat,6,3.65,186000,9
4316,Hardware,34,0,2,Yes,Diplomat,5,2.37,70000,6
4318,Hardware,35,0,2,Yes,Diplomat,0,2.9,78000,6
4319,Hardware,29,0,3,Yes,Diplomat,5,4,120000,9
4320,Hardware,64,0,2,No,Explorer,3,3.23,65000,5
4321,Hardware,38,0,1,Yes,Sentinel,0,1.51,49000,4
4322,Hardware,33,0,1,No,Explorer,0,1.95,54000,3
4323,Hardware,31,1,2,Yes,Explorer,2,2.87,76800,7
4325,Hardware,51,1,2,Yes,Sentinel,2,2.28,66800,4
4327,Hardware,33,0,2,No,Diplomat,3,3.59,79000,10
4328,Hardware,65,0,2,Yes,Diplomat,0,3.49,77000,6
4330,Hardware,31,0,6,Yes,Analyst,2,1.41,58000,10
